Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging devices at all speeds by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,
,,Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",,,,,,,,,,,,
E07000141,South Kesteven,21,14.7,37,26.0,37,26.0,35,24.6,31,21.8,28,19.7,28,19.7,20,14.1,,,,,,,,,,,,
E07000142,West Lindsey,16,16.6,16,16.7,13,13.6,13,13.6,13,13.6,13,13.7,11,11.6,12,12.6,,,,,,,,,,,,
E10000021,Northamptonshire (abolished April 2021),-,-,146,19.4,131,17.4,133,17.7,117,15.5,114,15.2,104,13.9,99,13.2,,,,,,,,,,,,
E07000150,Corby (abolished April 2021),-,-,33,45.7,33,45.7,35,48.5,33,45.7,30,42.4,26,36.7,26,36.7,,,,,,,,,,,,
E07000151,Daventry (abolished April 2021),-,-,19,22.1,17,19.8,21,24.4,21,24.4,21,24.9,19,22.5,19,22.5,,,,,,,,,,,,
E07000152,East Northamptonshire (abolished April 2021),-,-,20,21.2,19,20.1,19,20.1,18,19.0,18,19.2,17,18.1,17,18.1,,,,,,,,,,,,
E07000153,Kettering (abolished April 2021),-,-,21,20.6,16,15.7,12,11.8,7,6.9,7,6.9,7,6.9,6,5.9,,,,,,,,,,,,
E07000154,Northampton (abolished April 2021),-,-,17,7.6,17,7.6,17,7.6,17,7.6,17,7.6,16,7.1,15,6.7,,,,,,,,,,,,
E07000155,South Northamptonshire (abolished April 2021),-,-,26,27.5,23,24.3,23,24.3,16,16.9,16,17.3,16,17.3,13,14.1,,,,,,,,,,,,
E07000156,Wellingborough (abolished April 2021),-,-,10,12.5,6,7.5,6,7.5,5,6.3,5,6.3,3,3.8,3,3.8,,,,,,,,,,,,
